应用名称,应用包名,适配前,适配后,适配效果,更新日期,
,,,,,,
1,,,,,,
123云盘,com.mfcloudcalculate.networkdisk,部分页面适配,主页以外悬浮显示,好,2025-09-11,
,,,,,,
2,,,,,,
233乐园,com.meta.box,未适配,,,,
,,,,,,
5,,,,,,
58同城,com.wuba,小米部分适配,,,,
,,,,,,
A,,,,,,
Activity Manager,com.activitymanager,全局固定白色,全局悬浮显示,好,2025-08-21,
安居客,com.anjuke.android.app,小米部分适配,,,,
阿里巴巴,com.alibaba.wireless,小米部分适配,,,,
爱奇艺,com.qidian.QDReader,未适配,,,,
爱奇艺极速版,com.qiyi.video.lite,未适配,,,,
爱玩机工具箱,com.byyoung.setting,部分页面取色,主页以外悬浮显示,好,2025-08-21,
,,,,,,
B,,,,,,
BubbleUPnP,com.bubblesoft.android.bubbleupnp,全局固定取色,主页以外悬浮显示,好,2025-08-21,
不背单词,cn.com.langeasy.LangEasyLexis,未适配,,,,
百词斩,com.jiongji.andriod.card,根据深浅模式填充,主页以外悬浮显示,一般,2025-09-11,
百度,com.baidu.searchbox,部分页面未适配,手动适配,一般,2025-09-12,
百度地图,com.baidu.BaiduMap,全局填充白色,主页以外悬浮显示,好,2025-09-16,
百度翻译,com.baidu.baidutranslate,全局填充白色,主页以外悬浮显示,好,2025-08-21,
百度极速版,com.baidu.searchbox.lite,未适配,,,,
百度网盘,com.baidu.netdisk,全局填充白色,主页/相册/文档以外悬浮显示,好,2025-09-11,
贝壳找房,com.lianjia.beike,未适配,,,,
哔哩哔哩,tv.danmaku.bili,小米部分适配,主页以外悬浮显示,好,2025-09-27,
哔哩哔哩HD,tv.danmaku.bilibilihd,未适配,,,,
比亚迪,com.byd.aeri.caranywhere,小米部分适配,部分页面单独适配,未测试,2025-09-13,
,,,,,,
C,,,,,,
创建快捷方式,com.x7890.shortcutcreator,未适配,全局悬浮显示,未测试,2025-09-15,
车来了,com.ygkj.chelaile.standard,小米部分适配,,,,
菜鸟,com.cainiao.wireless,小米完美适配,,好,2025-09-13,
,,,,,,
D,,,,,,
DevCheck,flar2.devcheck,全局填充白色,全局悬浮显示,好,2025-09-07,
DSU Sideloader,vegabobo.dsusideloader,填充颜色不一致,全局悬浮显示,好,2025-08-21,
豆包,com.larus.nova,未适配,,,,
懂车帝,com.ss.android.auto,小米部分适配,,,,
钉钉,com.alibaba.android.rimet,未适配,,,,
滴滴出行,com.sdu.didi.psnger,全局填充白色,主页以外悬浮显示,好,2025-09-11,
滴滴车主,com.sdu.didi.gsui,未适配,,,,
东方财富,com.eastmoney.android.berlin,小米部分适配,,,,
蛋花免费小说,com.eggflower.read,小米部分适配,,,,
大麦,cn.damai,小米部分适配,,,,
倒数日-Days Matter,com.clover.daysmatter,未适配,,,,
得物,com.shizhuang.duapp,小米部分适配,,,,
大学搜题酱,com.zmzx.college.search,小米部分适配,,,,
抖音,com.ss.android.ugc.aweme,小米部分适配,,,,
抖音火山版,com.ss.android.ugc.live,小米部分适配,,,,
抖音极速版,com.ss.android.ugc.aweme.lite,小米部分适配,,,,
抖音精选,com.ss.android.yumme.video,未适配,,,,
抖音商城,com.ss.android.ugc.livelite,小米部分适配,,,,
斗鱼直播,air.tv.douyu.android,小米部分适配,,,,
大众点评,com.dianping.v1,部分页面适配,海量页面单独适配,好,2025-09-15,
,,,,,,
E,,,,,,
Edge,com.microsoft.emmx,主界面固定取色,主页以外悬浮显示,一般,2025-09-13,
饿了么,me.ele,根据深浅模式填充,部分页面单独适配,未测试,2025-09-15,
,,,,,,
F,,,,,,
粉笔,com.fenbi.android.servant,小米部分适配,,,,
番茄 ToDo,com.plan.kot32.tomatotime,根据深浅模式填充,主页以外悬浮显示,好,2025-09-11,
番茄畅听,com.xs.fm,小米部分适配,,,,
番茄畅听音乐版,com.xs.fm.lite,小米部分适配,,,,
番茄免费小说,com.dragon.read,小米部分适配,部分页面悬浮显示,好（更新后未测试）,2025-09-14,
,,,,,,
G,,,,,,
GitHub,com.github.android,全局固定白色,主页以外悬浮显示,好（更新后未测试）,2025-09-15,
Google Play,com.android.vending,未适配,,,,
Google Play 服务,com.google.android.gms,未适配 / 无需适配,,,,
Guise,com.houvven.guise,全局固定浅色,全局悬浮显示,好,2025-08-21,
,,,,,,
H,,,,,,
红果免费短剧,com.phoenix.read,未适配,,,,
好看视频,com.baidu.haokan,小米部分适配,,,,
哈啰,com.jingyao.easybike,小米部分适配,,,,
欢乐斗地主,com.qqgame.hlddz,未适配,,,,
航旅纵横,com.umetrip.android.msky.app,全局填充黑色,全局悬浮显示,BUG,2025-09-11,
盒马,com.wudaokou.hippo,小米部分适配,,,,
河马剧场,com.dz.hmjc,小米部分适配,,,,
虎扑,com.hupu.games,小米部分适配,,,,
和平营地,com.tencent.gamehelper.pg,小米部分适配,,,,
华为运动健康,com.huawei.health,小米部分适配,,,,
,,,,,,
I,,,,,,
iDaily,com.clover.idaily,根据深浅模式填充,全局悬浮显示,好,2025-09-11,
InstallerX,com.rosan.installer.x,填充颜色不一致,全局悬浮显示,好,2025-08-19,
,,,,,,
J,,,,,,
京东,com.jingdong.app.mall,部分页面适配,部分页面单独适配,一般,2025-09-11,
交管12123,com.tmri.app.main,全局白底显示,,,,
交互百词斩,com.jiongji.andriod.card,根据深浅模式填充,主页以外悬浮显示,一般,2025-09-11,
九号出行,cn.ninebot.ninebot,根据深浅模式填充,部分悬浮显示,一般,2025-09-10,
甲壳虫 ADB 助手,com.didjdk.adbhelper,部分页面适配,全局悬浮显示,好,2025-08-22,
今日头条,com.ss.android.article.news,小米部分适配,,,,
今日头条极速版,com.ss.android.article.lite,小米部分适配,,,,
今日校园,com.wisedu.cpdaily,未适配,,,,
交通银行,com.bankcomm.Bankcomm,未适配,,,,
,,,,,,
K,,,,,,
Keep,com.gotokeep.keep,小米部分适配,,,,
Kernel Flasher,com.github.capntrips.kernelflasher,颜色稍微浅一点点,全局悬浮显示,好,2025-08-21,
KonaBess,xzr.konabess,全局固定白色,全局悬浮显示,好,2025-09-15,
酷狗音乐,com.kugou.android,小米部分适配,,,,
夸克,com.quark.browser,小米部分适配,,,,
快手,com.smile.gifmaker,小米部分适配,,,,
快手极速版,com.kuaishou.nebula,小米部分适配,,,,
快影,com.kwai.videoeditor,小米部分适配,,,,
,,,,,,
L,,,,,,
Legado,io.legado.app.release,小米部分适配,,,,
LX Music,cn.toside.music.mobile,全局固定白色,全局悬浮显示,好,2025-08-21,
,,,,,,
M,,,,,,
Minecraft DLC Free,com.minecraft.free,全局固定白色,全局悬浮显示,好,2025-08-27,
MT 管理器,bin.mt.plus,全局固定白色,全局悬浮显示,好,2025-08-21,
咪咕视频,com.cmcc.cmvideo,未适配,,,,
芒果TV,com.hunantv.imgo.activity,小米部分适配,,,,
米家,com.xiaomi.smarthome,部分页面未适配,部分页面单独适配,好,2025-08-23,
美团,com.sankuai.meituan,小米部分适配,部分页面单独适配,一般,2025-09-11,
美团外卖,com.sankuai.meituan.takeoutnew,小米部分适配,,,,
美团外卖商家版,com.sankuai.meituan.meituanwaimaibusiness,小米部分适配,,,,
美团众包,com.sankuai.meituan.dispatch.crowdsource,未适配,,,,
猫眼,com.sankuai.movie,小米部分适配,,,,
美柚,com.lingan.seeyou,小米部分适配,,,,
米游社,com.mihoyo.hyperion,小米部分适配,部分页面悬浮显示,好,2025-09-13,
,,,,,,
N,,,,,,
NGA 玩家社区,gov.pianzong.androidnga,根据深浅模式填充,主页以外悬浮显示,未测试,2025-09-11,
牛客,com.nowcoder.app.florida,根据深浅模式填充,主页以外悬浮显示,未测试,2025-09-11,
,,,,,,
P,,,,,,
平安口袋银行,com.pingan.paces.ccms,未适配,,,,
平安证券,com.hundsun.winner.pazq,小米部分适配,,,,
拼多多,com.xunmeng.pinduoduo,小米部分适配,部分页面单独适配,好,2025-09-12,
皮皮虾,com.sup.android.superb,小米部分适配,,,,
,,,,,,
Q,,,,,,
QQ,com.tencent.mobileqq,部分页面未适配,部分页面悬浮显示,好,2025-09-13,
QQ浏览器,com.tencent.mtt,未适配,,,,
QQ邮箱,com.tencent.androidqqmail,小米部分适配,,,,
